stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_6_2703,2703,Felipe II,Calle de Jorge Juan 80,40.4233781177604,-3.67557948615864,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_2705,2705,Hospital Clínico,Calle de Isaac Peral 54,40.4407931598321,-3.71814233806046,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_2707,2707,Isaac Peral-Julián Romea,Calle de Isaac Peral 60,40.4430019803944,-3.71933319746557,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_2709,2709,Marqués de Comillas,Plaza del Marqués de Comillas 3,40.4455305001138,-3.71981705860929,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_2712,2712,Beatriz de Bobadilla,Calle de Beatriz de Bobadilla 2,40.4466758751981,-3.71379739834542,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_2713,2713,Juan XXIII,Paseo de Juan XXIII 13,40.4484219512116,-3.7169833112242,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4677,4677,Glorieta López de Hoyos,Calle de Joaquín Costa 61,40.441318641821,-3.6811238928397,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4679,4679,Joaquín Costa-Velázquez,Calle de Joaquín Costa 49,40.4423394997057,-3.68217185190496,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5104,5104,Embajadores,Gta de Embajadores 3,40.4051358437794,-3.70191236036807,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5141,5141,Vicente Aleixandre,Paseo de Juan XXIII 12,40.446275344741,-3.71883405962119,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5394,5394,Metro República Argentina,Calle de Joaquín Costa 33,40.444694460612,-3.68461300917387,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_4278,4278,Telecomunicación y Topografía,Calle   Provisional Politécnica de Vallecas Tres 3,40.3902209128439,-3.6298971786406,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4279,4279,Colegio Educación Especial Vallecas,Calle   Provisional Politécnica de Vallecas Tres 3,40.3882372209646,-3.63103524213527,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4280,4280,Instituto Palomeras-Vallecas,Calle   Provisional Politécnica de Vallecas Uno 1,40.3872456632605,-3.62948143965381,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4281,4281,Polideportivo Campus Sur,Calle   Provisional Politécnica de Vallecas Uno 1,40.3886332527973,-3.62695485930321,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_4702,4702,Polideportivo Campus Sur,Calle   Provisional Politécnica de Vallecas Uno 1,40.3881428001291,-3.62768634635892,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_5561,5561,Democracia-Arboleda,Calle de la Arboleda 4 E,40.3841936121928,-3.62577942669095,A,http://www.crtm.es,0,,Europe/Madrid,2
par_6_5562,5562,Democracia-Arboleda,Calle de la Arboleda 4 E,40.3842036110215,-3.62559616754641,,http://www.crtm.es,0,,Europe/Madrid,0
par_6_2646,2646,La Peseta,Avda de la Peseta 47,40.36257,-3.75729,,http://www.crtm.es,0,,Europe/Madrid,0
