id_incidencia,id_incidencia_nuevo,nom_tipo_incidencia,fh_inicio,fh_final,descripcion,tramo,utm_x,utm_y,longitud,latitud,es_recurrente,recurrencia
21281,mad-21281,obras,2020-06-08T00:00:00.0000000,2020-07-31T23:59:00.0000000,Isla de Long. Cortada entre Ochagavia y Altea. Rehabilitación colector.,,439265.331817906,4479488.36562924,-3.71638239022268,40.4638486651608,FALSE,
10986904,mad-10986904,evento,2019-09-02T00:00:00.0,2020-06-30T23:59:00.0,Caminar por Madrid,,,,,,TRUE,L,M,X,J,V,S,D
11176611,mad-11176611,evento,2020-06-15T00:00:00.0,2020-07-05T23:59:00.0,Carrera virtual 'La Conquista del Corredor',,,,,,TRUE,L,M,X,J,V,S,D
10983628,mad-10983628,evento,2019-09-02T00:00:00.0,2020-06-30T23:59:00.0,Ciclismo por Madrid,,,,,,TRUE,L,M,X,J,V,S,D
11075754,mad-11075754,evento,2019-11-01T00:00:00.0,2020-06-30T23:59:00.0,Ground Golf,,,,,,TRUE,L,J
10474994,mad-10474994,evento,2019-09-02T00:00:00.0,2020-06-30 23:59:00.0,Marcha nórdica,,,,,,TRUE,L,M,X,J,V,S,D
11117147,mad-11117147,evento,2020-10-04T00:00:00.0,2020-10-04 23:59:00.0,Movistar Medio Maratón de Madrid,,,,,,FALSE,
11150393,mad-11150393,evento,2020-04-01T00:00:00.0,2020-06-30 23:59:00.0,Torneos Municipales 2020,,,,,,TRUE,L,M,X,J,V,S,D
11150349,mad-11150349,evento,2020-04-01T00:00:00.0,2020-06-30 23:59:00.0,Trofeos Copa de Primavera 2020,,,,,,TRUE,L,M,X,J,V,S,D
9750,zgz-9750,obras,2020-06-10T00:00:00,2020-06-10T00:00:00Z,C/ Juan XXIII,,,,,,FALSE,
9752,zgz-9752,obras,2020-06-10T00:00:00,2020-06-10T00:00:00Z,C/ Puente Rialto,Números pares. entre C/ Cannaregio y C/ Carnaval de Venecia,,,,,FALSE,
9748,zgz-9748,obras,2020-06-10T00:00:00,2020-06-10T00:00:00Z,C/ María Callas,Entre C/ Pilar Sinues y C/ Juan XXIII,,,,,FALSE,
9746,zgz-9746,obras,2020-06-09T00:00:00,2020-06-09T00:00:00Z,C/ A. Ubieto,Números pares. entre C/ Jean Paul Sartre y Avda. Academia General Militar,,,,,FALSE,
9737,zgz-9737,obras,2020-06-01T00:00:00,2020-06-15T00:00:00Z,Paseo Pamplona ,Entre c/ Ponzano y c/ Bilbao,,,,,FALSE,
9747,zgz-9747,obras,2020-06-09T00:00:00,2020-06-09T00:00:00Z,Avda. Puerta Sancho,Números impares. entre Avda. Pablo Gargallo y C/ Bonn,,,,,FALSE,
9749,zgz-9749,obras,2020-06-10T00:00:00,2020-06-10T00:00:00Z,C/ Monte Carmelo,,,,,,FALSE,
9751,zgz-9751,obras,2020-06-10T00:00:00,2020-06-10T00:00:00Z,C/ María Virto,Lado pares. entre C/ Teresa Salvo Puerto y C/ Felisa Galé,,,,,FALSE,
9389,zgz-9389,obras,2019-10-23T00:00:00,2020-06-26T00:00:00Z,Calle Venancio Huarte,,,,,,FALSE,
9702,zgz-9702,obras,2020-05-18T00:00:00,2020-06-18T00:00:00Z,Nuestra Señora de los Ángeles,El corte afectará al tramo de calle propiedad de la DPZ junto a la c/ Jarque de Moncayo,,,,,FALSE,
