idx,hasSimpleResult,hasResultTime,madeBySensor,observedProperty,validada,tipoMedicion,tipoEmisorPredominante,tipoIntervaloReferencia
66,52.3,2019-12-21T00:00:00,3,nivelRuido,false,LAS99,,E
67,62.7,2019-12-21T00:00:00,3,nivelRuido,false,LAeq,,N
68,70.5,2019-12-21T00:00:00,3,nivelRuido,false,LAS01,,N
69,64.8,2019-12-21T00:00:00,3,nivelRuido,false,LAS10,,N
70,60.2,2019-12-21T00:00:00,3,nivelRuido,false,LAS50,,N
71,55.3,2019-12-21T00:00:00,3,nivelRuido,false,LAS90,,N
72,50.3,2019-12-21T00:00:00,3,nivelRuido,false,LAS99,,N
73,62.6,2019-12-21T00:00:00,5,nivelRuido,false,LAeq,,T
74,69.2,2019-12-21T00:00:00,5,nivelRuido,false,LAS01,ferrocarriles,T
75,64.8,2019-12-21T00:00:00,5,nivelRuido,false,LAS10,,T
76,60.6,2019-12-21T00:00:00,5,nivelRuido,false,LAS50,,T
77,55.5,2019-12-21T00:00:00,5,nivelRuido,false,LAS90,,T
78,48.2,2019-12-21T00:00:00,5,nivelRuido,false,LAS99,,T
79,61.3,2019-12-21T00:00:00,5,nivelRuido,false,LAeq,,D
80,67.8,2019-12-21T00:00:00,5,nivelRuido,false,LAS01,,D
81,63.8,2019-12-21T00:00:00,5,nivelRuido,false,LAS10,,D
82,60.2,2019-12-21T00:00:00,5,nivelRuido,false,LAS50,,D
83,57.0,2019-12-21T00:00:00,5,nivelRuido,false,LAS90,,D
84,54.3,2019-12-21T00:00:00,5,nivelRuido,false,LAS99,,D
85,55.6,2019-12-21T00:00:00,5,nivelRuido,false,LAeq,,E
86,64.3,2019-12-21T00:00:00,5,nivelRuido,false,LAS01,,E
87,59.5,2019-12-21T00:00:00,5,nivelRuido,false,LAS10,,E
88,52.5,2019-12-21T00:00:00,5,nivelRuido,false,LAS50,,E
89,45.3,2019-12-21T00:00:00,5,nivelRuido,false,LAS90,,E
90,41.6,2019-12-21T00:00:00,5,nivelRuido,false,LAS99,,E
91,61.0,2019-12-21T00:00:00,5,nivelRuido,false,LAeq,,N
92,68.0,2019-12-21T00:00:00,5,nivelRuido,false,LAS01,,N
93,63.8,2019-12-21T00:00:00,5,nivelRuido,false,LAS10,actividades-comerciales,N
94,58.9,2019-12-21T00:00:00,5,nivelRuido,false,LAS50,,N
95,49.1,2019-12-21T00:00:00,5,nivelRuido,false,LAS90,,N
96,42.9,2019-12-21T00:00:00,5,nivelRuido,false,LAS99,,N
97,71.6,2019-12-21T00:00:00,6,nivelRuido,false,LAeq,,T
98,77.4,2019-12-21T00:00:00,6,nivelRuido,false,LAS01,,T
99,74.5,2019-12-21T00:00:00,6,nivelRuido,false,LAS10,,T
100,68.9,2019-12-21T00:00:00,6,nivelRuido,false,LAS50,,T
